2025-11-27 15:47:28.995 | INFO     | AutoResponder initialized 
2025-11-27 15:48:39.059 | INFO     | 🚨 NEW ALERT DETECTED - Source: unknown -> Target: unknown | Type: unknown [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.060 | INFO     | 📝 Generating remediation plan... [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.061 | INFO     | Alert formatted for planner (full text below) [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.067 | INFO     | ✅ Plan generated successfully (0.01s) | Executor: 172.31.0.10 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.067 | INFO     | 🚀 Starting plan execution via SSH... [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.068 | INFO     | 🎯 Target determined: server at 172.31.0.10 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.068 | INFO     | 🔑 Checking SSH key setup... 
2025-11-27 15:48:39.070 | INFO     | ✅ SSH client found: /usr/bin/ssh 
2025-11-27 15:48:39.072 | INFO     | ✅ ssh-keygen found: /usr/bin/ssh-keygen 
2025-11-27 15:48:39.072 | INFO     | ✅ SSH key permissions set correctly 
2025-11-27 15:48:39.072 | INFO     | 🔍 Running comprehensive SSH diagnostics for server... [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.073 | INFO     | 🔍 Diagnosing SSH connectivity to 172.31.0.10... [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.074 | INFO     | ✅ SSH client found at: /usr/bin/ssh [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.074 | INFO     | ✅ SSH key found at /root/.ssh/id_rsa_auto_responder [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.076 | INFO     | 🏠 Running from host: instance-20251104-1550 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.081 | INFO     | 🌐 Our IPs: 127.0.0.1, 10.0.0.195, 172.17.0.1, 172.30.0.254, 172.31.0.254 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:39.082 | INFO     | 🏓 Testing ping: ping -c 2 -W 3 172.31.0.10 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.122 | INFO     | ✅ Ping to 172.31.0.10: SUCCESS [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.123 | INFO     | 🔐 Testing SSH: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ConnectTimeout=10 -o BatchMode=yes -o LogLevel=DEBUG -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 echo SSH_TEST_SUCCESS [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.362 | INFO     | ✅ SSH connection to 172.31.0.10: SUCCESS [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.362 | INFO     | 🏁 SSH connectivity diagnosis completed for 172.31.0.10 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.365 | INFO     | 🚀 Executing plan via SSH on server (172.31.0.10) - attempt 1/3 [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.368 | INFO     | 🔐 Testing SSH connectivity: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ConnectTimeout=10 -o BatchMode=yes -o LogLevel=ERROR -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 echo SSH_CONNECTIVITY_TEST [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.549 | INFO     | ✅ SSH connectivity test successful for server [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.550 | INFO     | 📤 SSH test response: SSH_CONNECTIVITY_TEST [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.551 | INFO     | 🤖 Starting OpenCode execution on server... [alert:a130b248, exec:891e75f5]
2025-11-27 15:48:40.551 | INFO     | 🔄 Full SSH command: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 'OPENCODE_API_KEY=sk-dbb9b6c... opencode run --agent soc_god "<context>"' [alert:a130b248, exec:891e75f5]
2025-11-27 15:51:31.470 | INFO     | ✅ Plan execution successful via SSH on server [alert:a130b248, exec:891e75f5]
2025-11-27 15:51:31.471 | INFO     | 🎉 Alert processed successfully | Execution: 172.40s | Total: 172.41s [alert:a130b248, exec:891e75f5]
2025-11-27 15:51:31.472 | INFO     | 🚨 NEW ALERT DETECTED - Source: unknown -> Target: unknown | Type: unknown [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.472 | INFO     | 📝 Generating remediation plan... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.473 | INFO     | Alert formatted for planner (full text below) [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.478 | INFO     | ✅ Plan generated successfully (0.00s) | Executor: 172.31.0.10 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.479 | INFO     | 🚀 Starting plan execution via SSH... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.480 | INFO     | 🎯 Target determined: server at 172.31.0.10 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.480 | INFO     | 🔑 Checking SSH key setup... 
2025-11-27 15:51:31.483 | INFO     | ✅ SSH client found: /usr/bin/ssh 
2025-11-27 15:51:31.485 | INFO     | ✅ ssh-keygen found: /usr/bin/ssh-keygen 
2025-11-27 15:51:31.486 | INFO     | ✅ SSH key permissions set correctly 
2025-11-27 15:51:31.487 | INFO     | 🚀 Executing plan via SSH on server (172.31.0.10) - attempt 1/3 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.488 | INFO     | 🔐 Testing SSH connectivity: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ConnectTimeout=10 -o BatchMode=yes -o LogLevel=ERROR -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 echo SSH_CONNECTIVITY_TEST [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.668 | INFO     | ✅ SSH connectivity test successful for server [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.669 | INFO     | 📤 SSH test response: SSH_CONNECTIVITY_TEST [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.670 | INFO     | 🤖 Starting OpenCode execution on server... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:31.671 | INFO     | 🔄 Full SSH command: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 'OPENCODE_API_KEY=sk-dbb9b6c... opencode run --agent soc_god "<context>"' [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.222 | ERROR    | ❌ SSH OpenCode execution FAILED on server (exit code: 255) [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.223 | INFO     | 🔍 Unknown SSH error - running diagnostics anyway... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.223 | INFO     | 🔍 Diagnosing SSH connectivity to 172.31.0.10... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.225 | INFO     | ✅ SSH client found at: /usr/bin/ssh [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.226 | INFO     | ✅ SSH key found at /root/.ssh/id_rsa_auto_responder [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.227 | INFO     | 🏠 Running from host: instance-20251104-1550 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.229 | INFO     | 🌐 Our IPs: 127.0.0.1, 10.0.0.195, 172.17.0.1, 172.30.0.254, 172.31.0.254 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:51.229 | INFO     | 🏓 Testing ping: ping -c 2 -W 3 172.31.0.10 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:52.249 | INFO     | ✅ Ping to 172.31.0.10: SUCCESS [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:52.250 | INFO     | 🔐 Testing SSH: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ConnectTimeout=10 -o BatchMode=yes -o LogLevel=DEBUG -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 echo SSH_TEST_SUCCESS [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:52.408 | INFO     | ✅ SSH connection to 172.31.0.10: SUCCESS [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:52.409 | INFO     | 🏁 SSH connectivity diagnosis completed for 172.31.0.10 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:51:52.409 | INFO     | ⏳ Retrying SSH execution in 10 seconds... [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:52:02.419 | INFO     | 🚀 Executing plan via SSH on server (172.31.0.10) - attempt 2/3 [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:52:02.420 | INFO     | 🔐 Testing SSH connectivity: ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ConnectTimeout=10 -o BatchMode=yes -o LogLevel=ERROR -i /root/.ssh/id_rsa_auto_responder -p 22 root@172.31.0.10 echo SSH_CONNECTIVITY_TEST [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:52:02.621 | INFO     | ✅ SSH connectivity test successful for server [alert:96c53e73, exec:e0fde39f]
2025-11-27 15:52:02.622 | INFO     | 📤 SSH test response: SSH_CONNECTIVITY_TEST [alert:96c53e73, exec:e0fde39f]
